id,ra,dec,f606w
9813,265.177174,-53.673194,18.8612 
9833,265.172114,-53.673744,18.9539 
9834,265.171951,-53.672992,18.4308 
9835,265.171545,-53.672581,18.3931 
9836,265.170992,-53.672666,17.8834 
9837,265.170914,-53.673812,18.9838 
9838,265.170783,-53.673393,18.4988 
9839,265.170664,-53.673287,16.8977 
9840,265.17062,-53.673708,17.3487 
9841,265.170285,-53.672687,16.889 
9842,265.170108,-53.672897,19.0631 
9843,265.170026,-53.67368,17.2691 
9844,265.17211,-53.673756,19.712 
9845,265.172019,-53.672807,20.7781 
9847,265.171724,-53.673801,19.4917 
9848,265.171311,-53.672994,20.7466 
9850,265.170739,-53.673484,19.7418 
9852,265.169959,-53.673387,19.1264 
9854,265.170111,-53.672908,20.6246 
9855,265.169979,-53.673363,20.3333 
9856,265.183217,-53.672801,18.5383 
9857,265.183153,-53.673241,18.1562 
9858,265.181842,-53.67313,17.5771 
9859,265.181807,-53.672622,16.9296 
9860,265.181656,-53.673301,17.6741 
9861,265.181641,-53.672563,18.4743 
9862,265.181611,-53.67338,16.8201 
9863,265.183159,-53.672536,20.1546 
9864,265.183095,-53.673767,19.3022 
9865,265.183075,-53.673197,19.2998 
9867,265.182446,-53.673027,20.3453 
9868,265.182356,-53.673797,19.5832 
9869,265.182316,-53.673307,19.018 
9871,265.181901,-53.67332,19.3999 
9872,265.181858,-53.673615,20.0217 
9873,265.181319,-53.673006,23.9116 
9875,265.181897,-53.673779,23.5011 
9876,265.169527,-53.673327,19.3136 
9877,265.169414,-53.672726,18.5874 
9878,265.169224,-53.673714,17.6832 
9879,265.169156,-53.672815,17.5065 
9880,265.168979,-53.672999,18.3658 
9881,265.168969,-53.673105,18.0173 
9886,265.169203,-53.672512,19.5903 
9887,265.169032,-53.67325,19.7818 
9888,265.168788,-53.673137,22.7272 
9891,265.169536,-53.67334,22.0854 
9893,265.169516,-53.673487,24.8404 
9917,265.180524,-53.673511,18.3752 
9918,265.179069,-53.673515,-99.9999 
9920,265.180875,-53.672775,21.5505 
9921,265.180741,-53.672954,20.974 
9924,265.180096,-53.673056,20.8269 
9925,265.179962,-53.673409,19.0134 
9926,265.17983,-53.672618,20.004 
9927,265.17971,-53.67306,17.5609 
9928,265.179655,-53.673473,20.4042 
9929,265.179589,-53.672945,18.1676 
9930,265.179503,-53.67353,19.1199 
9931,265.179161,-53.673672,19.6203 
9932,265.179072,-53.673741,23.165 
9933,265.179576,-53.67282,-99.9999 
9937,265.17652,-53.672891,18.1678 
9938,265.175709,-53.673379,17.1845 
9939,265.175634,-53.672871,17.4681 
9940,265.175625,-53.673045,18.7283 
9941,265.175183,-53.673502,18.4488 
9942,265.17471,-53.672818,17.6212 
9943,265.174584,-53.673552,17.1392 
9944,265.176453,-53.672754,20.417 
9945,265.176434,-53.67378,17.4952 
9946,265.176308,-53.673493,18.7428 
9947,265.176218,-53.673408,17.4805 
9948,265.175959,-53.673597,18.4739 
9949,265.175826,-53.673013,19.3724 
9950,265.175825,-53.673393,18.5532 
9951,265.175754,-53.67318,22.0301 
9953,265.175574,-53.673761,17.4614 
9954,265.175552,-53.673609,18.5818 
9955,265.175406,-53.672922,20.8496 
9956,265.175387,-53.673001,20.5779 
9957,265.175338,-53.672846,21.7371 
9958,265.175284,-53.67314,19.7926 
9959,265.174731,-53.673577,20.5336 
9960,265.174581,-53.673381,21.9961 
9962,265.175885,-53.673366,22.0553 
9964,265.173396,-53.673069,17.2251 
9965,265.17339,-53.673762,18.5124 
9966,265.173313,-53.673628,17.6852 
9967,265.173309,-53.67351,-99.9999 
9968,265.173193,-53.673651,17.2711 
9969,265.172972,-53.673788,17.7867 
9970,265.172955,-53.673372,17.9807 
9971,265.172928,-53.672852,17.3117 
9972,265.172858,-53.673512,17.9752 
9973,265.172855,-53.672923,17.4124 
9974,265.172821,-53.67314,17.5164 
9975,265.172505,-53.673343,18.4701 
9976,265.172456,-53.67302,17.4001 
9977,265.174343,-53.673044,19.2212 
9978,265.174331,-53.673263,19.533 
9979,265.174331,-53.672684,20.4273 
9980,265.174264,-53.673322,19.1537 
9981,265.174247,-53.673591,21.7207 
9984,265.173801,-53.673362,19.1817 
9985,265.173608,-53.672531,20.0164 
9986,265.173593,-53.672832,20.8806 
9987,265.17352,-53.673301,22.4666 
9988,265.173286,-53.673265,17.463 
9991,265.172842,-53.673202,20.3795 
9993,265.172496,-53.672541,23.8698 
10288,265.188019,-53.672312,19.1417 
10295,265.188077,-53.671233,20.7983 
10296,265.187882,-53.672255,23.5733 
10297,265.187849,-53.671878,19.482 
10354,265.172092,-53.672318,18.7065 
10355,265.1717,-53.67246,17.5465 
10356,265.171688,-53.671586,17.5911 
10357,265.171534,-53.671894,17.6082 
10358,265.171321,-53.672435,17.0259 
10359,265.171226,-53.671255,18.1143 
10360,265.170685,-53.671924,17.6345 
10361,265.170627,-53.672016,18.4761 
10362,265.170307,-53.671521,18.1222 
10363,265.169978,-53.67243,18.1393 
10364,265.169945,-53.671973,18.9678 
10365,265.171933,-53.671852,20.416 
10366,265.171559,-53.671192,21.8977 
10368,265.171419,-53.671497,22.6051 
10369,265.17129,-53.671573,18.7467 
10370,265.171258,-53.671993,20.8612 
